state,novel,learn_stable_from,inst_adopted_at,lag,fixed
33,S,0,1,1,False
56,S,0,1,1,False
60,S,0,1,1,False
42,S,0,2,2,False
33,L,2,3,1,False
46,R,4,5,1,False
59,R,4,5,1,False
49,R,5,6,1,False
60,R,5,6,1,False
44,L,7,8,1,False
49,S,7,8,1,False
48,S,9,10,1,False
51,S,9,10,1,True
9,L,10,11,1,False
28,L,10,11,1,False
7,L,11,12,1,False
2,S,12,13,1,False
32,S,12,13,1,False
30,L,13,14,1,False
62,L,13,14,1,False
55,S,14,15,1,False
24,R,15,16,1,True
61,L,15,16,1,False
4,R,16,17,1,True
33,R,17,18,1,True
2,R,18,19,1,True
40,R,18,19,1,False
14,R,20,21,1,True
16,R,20,21,1,True
36,R,20,21,1,True
47,R,19,21,2,False
65,R,19,21,2,False
69,R,20,21,1,False
22,R,18,22,4,False
32,R,22,24,2,True
44,R,21,24,3,False
61,R,19,24,5,False
39,R,25,26,1,True
